Validation Loss: 0.1413
Validation PSNR: 13.4258
Validation SSIM: 0.0523
Time taken for epoch 1: 48.1163 seconds
----------
epoch 2/100
Step 13/66, Charbonnier Loss: 0.1316, Pixel Loss: 0.1316, Combined Loss: 0.2632, Gradient Norm: 0.0850, Step time: 0.5211 sec
Step 14/66, Charbonnier Loss: 0.1322, Pixel Loss: 0.1322, Combined Loss: 0.2644, Gradient Norm: 0.0800, Step time: 0.5192 sec
Step 15/66, Charbonnier Loss: 0.1322, Pixel Loss: 0.1322, Combined Loss: 0.2644, Gradient Norm: 0.1199, Step time: 0.5203 sec
Step 16/66, Charbonnier Loss: 0.1298, Pixel Loss: 0.1298, Combined Loss: 0.2597, Gradient Norm: 0.0450, Step time: 0.5212 sec
Step 17/66, Charbonnier Loss: 0.1305, Pixel Loss: 0.1305, Combined Loss: 0.2610, Gradient Norm: 0.1022, Step time: 0.5210 sec
Step 18/66, Charbonnier Loss: 0.1304, Pixel Loss: 0.1304, Combined Loss: 0.2607, Gradient Norm: 0.0406, Step time: 0.5198 sec
Step 19/66, Charbonnier Loss: 0.1307, Pixel Loss: 0.1307, Combined Loss: 0.2614, Gradient Norm: 0.1176, Step time: 0.5193 sec
Step 20/66, Charbonnier Loss: 0.1312, Pixel Loss: 0.1312, Combined Loss: 0.2624, Gradient Norm: 0.0308, Step time: 0.5235 sec
Step 21/66, Charbonnier Loss: 0.1298, Pixel Loss: 0.1298, Combined Loss: 0.2597, Gradient Norm: 0.0918, Step time: 0.5224 sec
Step 22/66, Charbonnier Loss: 0.1316, Pixel Loss: 0.1316, Combined Loss: 0.2633, Gradient Norm: 0.0358, Step time: 0.5222 sec
Step 23/66, Charbonnier Loss: 0.1308, Pixel Loss: 0.1308, Combined Loss: 0.2616, Gradient Norm: 0.1090, Step time: 0.5221 sec
Step 24/66, Charbonnier Loss: 0.1303, Pixel Loss: 0.1303, Combined Loss: 0.2606, Gradient Norm: 0.0336, Step time: 0.5226 sec
Step 25/66, Charbonnier Loss: 0.1317, Pixel Loss: 0.1317, Combined Loss: 0.2635, Gradient Norm: 0.0949, Step time: 0.5224 sec
Step 26/66, Charbonnier Loss: 0.1323, Pixel Loss: 0.1323, Combined Loss: 0.2645, Gradient Norm: 0.0671, Step time: 0.5215 sec
Step 27/66, Charbonnier Loss: 0.1317, Pixel Loss: 0.1317, Combined Loss: 0.2633, Gradient Norm: 0.1116, Step time: 0.5229 sec
Step 28/66, Charbonnier Loss: 0.1297, Pixel Loss: 0.1297, Combined Loss: 0.2594, Gradient Norm: 0.0849, Step time: 0.5232 sec
Step 29/66, Charbonnier Loss: 0.1297, Pixel Loss: 0.1297, Combined Loss: 0.2594, Gradient Norm: 0.0546, Step time: 0.5240 sec
Step 30/66, Charbonnier Loss: 0.1313, Pixel Loss: 0.1313, Combined Loss: 0.2625, Gradient Norm: 0.1136, Step time: 0.5200 sec
Step 31/66, Charbonnier Loss: 0.1309, Pixel Loss: 0.1309, Combined Loss: 0.2619, Gradient Norm: 0.0406, Step time: 0.5236 sec
Step 32/66, Charbonnier Loss: 0.1306, Pixel Loss: 0.1306, Combined Loss: 0.2612, Gradient Norm: 0.1126, Step time: 0.5220 sec
Step 33/66, Charbonnier Loss: 0.1304, Pixel Loss: 0.1304, Combined Loss: 0.2607, Gradient Norm: 0.0887, Step time: 0.5223 sec
Step 34/66, Charbonnier Loss: 0.1301, Pixel Loss: 0.1301, Combined Loss: 0.2603, Gradient Norm: 0.0538, Step time: 0.5210 sec
Step 35/66, Charbonnier Loss: 0.1303, Pixel Loss: 0.1303, Combined Loss: 0.2607, Gradient Norm: 0.0718, Step time: 0.5215 sec
Step 36/66, Charbonnier Loss: 0.1306, Pixel Loss: 0.1306, Combined Loss: 0.2611, Gradient Norm: 0.0414, Step time: 0.5231 sec
Step 37/66, Charbonnier Loss: 0.1308, Pixel Loss: 0.1308, Combined Loss: 0.2617, Gradient Norm: 0.0670, Step time: 0.5241 sec
